television,radio,co_hyponyms 
physics,chemistry,co_hyponyms 
seven,series,None 
football,basketball,co_hyponyms 
liquid,water,hyponyms 
man,woman,antonyms 
king,queen,identity 
rock,jazz,co_hyponyms 
psychology,science,hypernyms 
five,month,None 
food,fruit,None 
computer,news,None 
planet,moon,None 
journal,association,None 
image,surface,None 
type,kind,hypernyms 
glass,metal,None 
music,project,None 
media,radio,indirect_hyponyms 
school,center,co_hyponyms 
space,chemistry,None 
planet,sun,co_member_meronyms 
population,development,None 
life,term,indirect_hypernyms 
planet,star,co_hyponyms 
money,cash,co_hyponyms 
experience,music,None 
money,dollar,None 
consumer,energy,None 
skin,eye,None 
life,death,part_meronyms 
street,block,None 
wood,forest,identity 
cup,substance,indirect_hypernyms 
coast,hill,None 
plane,car,indirect_hypernyms 
cup,food,indirect_hypernyms 
ministry,culture,None 
coast,forest,None 
problem,airport,None 
energy,secretary,None 
car,flight,None 
peace,plan,None 
cup,object,indirect_hypernyms 
man,governor,None 
street,place,indirect_hypernyms 
century,year,indirect_part_meronyms 
architecture,century,None 
train,car,member_meronyms 
start,year,None 
money,currency,hypernyms 
cup,article,indirect_hypernyms 
media,gain,None 
student,professor,None 
holy,sex,None 
street,children,None 
opera,performance,None 
opera,industry,None 
stock,life,None 
president,medal,None 
development,issue,indirect_hypernyms 
peace,atmosphere,None 
professor,doctor,None 
century,nation,None 
focus,life,None 
sugar,approach,None 
stock,live,None 
travel,activity,indirect_hypernyms 
direction,combination,None 
practice,institution,indirect_hyponyms 
start,match,co_hyponyms 
minority,peace,None 
money,operation,None 
month,hotel,None 
line,insurance,hyponyms 
report,gain,None 
governor,interview,None 
profit,loss,None 
attempt,peace,None 
drink,mother,None 
media,trading,co_hyponyms 
drink,car,None 
peace,insurance,None 
investigation,effort,None 
possibility,girl,None 
