W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,WS353
co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms
co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,None,co_hyponyms,co_hyponyms,None,None,None,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,hypernyms
co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,co_hyponyms,co_hyponyms,None,None,antonyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,co_hyponyms,hypernyms
co_hyponyms,hyponyms,hypernyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,None,co_hyponyms,None,None,None,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,None,co_hyponyms,None,identity
hyponyms,hypernyms,co_hyponyms,hyponyms,hypernyms,hyponyms,antonyms,hyponyms,hyponyms,None,hyponyms,antonyms,hyponyms,hyponyms,hyponyms,co_hyponyms,identity,co_hyponyms,hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,hyponyms,co_hyponyms
antonyms,co_hyponyms,hyponyms,hypernyms,hyponyms,hypernyms,None,co_hyponyms,antonyms,hyponyms,co_hyponyms,hyponyms,co_hyponyms,antonyms,antonyms,hyponyms,co_hyponyms,co_hyponyms,co_hyponyms,antonyms,hyponyms,hyponyms,hyponyms,hyponyms,None,None
None,None,None,None,None,None,hyponyms,antonyms,co_hyponyms,antonyms,antonyms,identity,identity,identity,co_hyponyms,hypernyms,hyponyms,antonyms,co_hyponyms,hyponyms,identity,antonyms,identity,None,None,antonyms
None,antonyms,None,None,identity,antonyms,None,identity,identity,identity,identity,hypernyms,antonyms,co_hyponyms,hypernyms,antonyms,antonyms,identity,identity,identity,None,hypernyms,None,identity,co_hyponyms,None
hypernyms,None,None,identity,hypernyms,identity,identity,None,hypernyms,hypernyms,hypernyms,co_hyponyms,hypernyms,hypernyms,identity,None,None,hypernyms,None,hypernyms,hypernyms,None,antonyms,hypernyms,antonyms,co_member_meronyms
None,None,antonyms,antonyms,antonyms,None,hypernyms,hypernyms,None,None,None,None,None,None,hypernyms,identity,None,None,hypernyms,None,antonyms,identity,None,antonyms,identity,hyponyms
identity,identity,hypernyms,None,None,None,hypernyms,hypernyms,None,None,hypernyms,None,None,None,None,None,None,None,hypernyms,None,None,None,None,None,None,part_meronyms
