W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,WS353
(football|basketball),(football|basketball),(football|basketball),(physics|chemistry),(physics|chemistry),(physics|chemistry),(physics|chemistry),(physics|chemistry),(physics|chemistry),(physics|chemistry),(physics|chemistry),(football|basketball),(physics|chemistry),(television|radio),(physics|chemistry),(television|radio),(television|radio),(television|radio),(physics|chemistry),(television|radio),(football|basketball),(seven|series),(football|basketball),(television|radio),(physics|chemistry),(money|cash)
(physics|chemistry),(physics|chemistry),(physics|chemistry),(football|basketball),(television|radio),(football|basketball),(television|radio),(football|basketball),(television|radio),(television|radio),(television|radio),(television|radio),(football|basketball),(physics|chemistry),(seven|series),(seven|series),(physics|chemistry),(physics|chemistry),(seven|series),(seven|series),(seven|series),(physics|chemistry),(television|radio),(physics|chemistry),(football|basketball),(money|currency)
(television|radio),(television|radio),(television|radio),(television|radio),(football|basketball),(television|radio),(football|basketball),(television|radio),(football|basketball),(football|basketball),(football|basketball),(physics|chemistry),(television|radio),(seven|series),(television|radio),(rock|jazz),(seven|series),(seven|series),(man|woman),(physics|chemistry),(television|radio),(television|radio),(rock|jazz),(seven|series),(television|radio),(type|kind)
(rock|jazz),(liquid|water),(type|kind),(rock|jazz),(rock|jazz),(rock|jazz),(rock|jazz),(seven|series),(seven|series),(rock|jazz),(seven|series),(seven|series),(seven|series),(football|basketball),(football|basketball),(physics|chemistry),(football|basketball),(liquid|water),(television|radio),(football|basketball),(physics|chemistry),(football|basketball),(seven|series),(football|basketball),(seven|series),(king|queen)
(liquid|water),(type|kind),(rock|jazz),(liquid|water),(type|kind),(liquid|water),(man|woman),(liquid|water),(liquid|water),(seven|series),(liquid|water),(man|woman),(liquid|water),(liquid|water),(liquid|water),(football|basketball),(king|queen),(rock|jazz),(liquid|water),(rock|jazz),(rock|jazz),(rock|jazz),(physics|chemistry),(rock|jazz),(liquid|water),(planet|star)
(man|woman),(rock|jazz),(liquid|water),(type|kind),(liquid|water),(type|kind),(seven|series),(rock|jazz),(man|woman),(liquid|water),(rock|jazz),(liquid|water),(rock|jazz),(man|woman),(man|woman),(liquid|water),(rock|jazz),(football|basketball),(football|basketball),(man|woman),(liquid|water),(liquid|water),(liquid|water),(liquid|water),(five|month),(money|dollar)
(skin|eye),(glass|metal),(seven|series),(seven|series),(seven|series),(seven|series),(liquid|water),(man|woman),(rock|jazz),(man|woman),(man|woman),(king|queen),(king|queen),(king|queen),(rock|jazz),(psychology|science),(liquid|water),(man|woman),(rock|jazz),(liquid|water),(king|queen),(man|woman),(king|queen),(computer|news),(computer|news),(man|woman)
(glass|metal),(man|woman),(journal|association),(glass|metal),(king|queen),(man|woman),(journal|association),(king|queen),(king|queen),(king|queen),(king|queen),(type|kind),(man|woman),(rock|jazz),(psychology|science),(man|woman),(man|woman),(king|queen),(king|queen),(king|queen),(five|month),(psychology|science),(computer|news),(king|queen),(rock|jazz),(planet|moon)
(type|kind),(planet|moon),(glass|metal),(king|queen),(psychology|science),(king|queen),(king|queen),(glass|metal),(type|kind),(type|kind),(type|kind),(rock|jazz),(psychology|science),(psychology|science),(king|queen),(computer|news),(five|month),(psychology|science),(computer|news),(psychology|science),(type|kind),(computer|news),(man|woman),(psychology|science),(man|woman),(planet|sun)
(planet|moon),(journal|association),(man|woman),(man|woman),(man|woman),(planet|moon),(type|kind),(type|kind),(planet|moon),(glass|metal),(journal|association),(glass|metal),(glass|metal),(five|month),(type|kind),(king|queen),(image|surface),(glass|metal),(type|kind),(computer|news),(man|woman),(king|queen),(image|surface),(man|woman),(king|queen),(liquid|water)
(king|queen),(king|queen),(psychology|science),(planet|moon),(food|fruit),(journal|association),(psychology|science),(psychology|science),(glass|metal),(journal|association),(psychology|science),(journal|association),(computer|news),(food|fruit),(image|surface),(five|month),(computer|news),(image|surface),(psychology|science),(five|month),(journal|association),(glass|metal),(journal|association),(population|development),(glass|metal),(life|death)
