Model,synonyms,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms
W1,0,3,9,0,2,0,0,0,0,1,0,0,
W2,0,2,9,0,2,0,1,0,0,1,0,0,
W3,0,3,8,0,2,0,1,0,0,1,0,0,
W4,0,3,8,0,2,0,1,0,0,1,0,0,
W5,0,2,8,0,2,0,2,0,0,1,0,0,
W6,0,3,7,0,2,0,1,0,0,1,0,0,
W7,0,4,8,0,2,0,2,0,0,1,0,0,
W8,0,2,9,0,1,0,2,0,0,1,0,0,
W9,0,5,8,0,1,0,1,0,0,1,0,0,
W10,0,3,8,0,1,0,2,0,0,1,0,0,
W11,0,2,9,0,1,0,1,0,0,1,0,0,
W12,0,4,9,0,1,0,0,0,0,1,0,0,
W13,0,4,9,0,2,0,1,0,0,1,0,0,
W14,0,3,9,0,1,0,0,0,0,1,0,0,
W15,0,3,9,0,1,0,1,0,0,1,0,0,
W16,0,4,8,0,2,0,1,0,0,1,0,0,
W17,0,3,7,0,1,0,1,0,0,1,0,0,
W18,0,3,8,0,1,0,1,0,0,1,0,0,
W19,0,4,9,0,1,0,1,0,0,1,0,0,
W20,0,4,9,0,1,0,1,0,0,1,0,0,
W21,0,4,9,0,2,0,0,0,0,1,0,0,
W22,0,3,8,0,1,0,1,0,0,1,0,0,
W23,0,3,9,0,1,0,1,0,0,1,0,0,
W24,0,3,8,0,1,0,1,0,0,1,0,0,
W25,0,2,2,0,1,1,1,0,0,1,0,0,
