Model,synonyms,identity,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms,co_hyponyms
W1,0 (1.000),2 (0.122),3 (0.041),1 (0.584),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W2,0 (1.000),2 (0.122),2 (0.283),1 (0.584),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W3,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W4,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W5,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),1 (0.353),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W6,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),5 (0.164),
W7,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),1 (0.353),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W8,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W9,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W10,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W11,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W12,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W13,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),1 (0.353),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W14,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W15,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W16,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),1 (0.353),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W17,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),5 (0.164),
W18,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W19,0 (1.000),1 (0.584),3 (0.041),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W20,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W21,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W22,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W23,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),7 (0.008),
W24,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
W25,0 (1.000),1 (0.584),2 (0.283),1 (0.584),0 (1.000),1 (0.353),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),0 (1.000),
W353,0 (1.000),2 (0.122),3 (0.041),1 (0.584),0 (1.000),1 (0.353),0 (1.000),1 (0.353),0 (1.000),0 (1.000),1 (0.353),0 (1.000),0 (1.000),6 (0.046),
