Model,synonyms,identity,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms,co_hyponyms
W1,0 (1.000),0 (1.000),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W2,0 (1.000),0 (1.000),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W3,0 (1.000),0 (1.000),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W4,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W5,0 (1.000),1 (0.223),2 (0.035),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W6,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W7,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W8,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W9,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W10,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W11,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W12,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W13,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W14,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W15,0 (1.000),1 (0.223),2 (0.035),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W16,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W17,0 (1.000),1 (0.223),0 (1.000),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W18,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W19,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W20,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W21,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W22,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W23,0 (1.000),1 (0.223),0 (1.000),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W24,0 (1.000),1 (0.223),1 (0.316),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),4 (0.010),
W25,0 (1.000),1 (0.223),0 (1.000),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),0 (1.000),
W353,0 (1.000),1 (0.223),2 (0.035),1 (0.223),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.118),0 (1.000),0 (1.000),2 (0.285),
