actress,actor,hypernyms 
actor,singer,None 
son,father,None 
south,north,antonyms 
brother,son,None 
composer,writer,None 
father,brother,None 
area,region,identity 
mother,wife,None 
molecule,atom,identity 
movie,film,identity 
father,daughter,None 
basketball,baseball,co_hyponyms 
north,west,indirect_part_holonyms 
father,god,None 
winter,summer,co_hyponyms 
river,valley,None 
population,people,hypernyms 
short,long,antonyms 
atom,carbon,None 
people,party,None 
understand,know,hyponyms 
woman,man,antonyms 
boundary,border,synonyms 
bottom,top,antonyms 
narrow,broad,antonyms 
river,sea,None 
dog,cat,None 
word,dictionary,None 
sea,ocean,identity 
water,ice,substance_holonyms 
prince,king,co_member_meronyms 
easy,difficult,antonyms 
know,believe,hypernyms 
new,ancient,None 
give,allow,synonyms 
navy,army,co_hyponyms 
formula,equation,co_hyponyms 
administration,management,hypernyms 
word,page,None 
modern,ancient,co_hyponyms 
old,new,antonyms 
create,make,identity 
school,law,None 
logic,arithmetic,None 
dog,horse,None 
book,bible,identity 
god,spirit,co_hyponyms 
science,psychology,hyponyms 
create,build,synonyms 
book,article,co_hyponyms 
child,boy,indirect_hyponyms 
home,state,indirect_hypernyms 
business,company,None 
corporation,business,indirect_hypernyms 
chemistry,theory,None 
large,huge,similar_tos 
man,child,hyponyms 
boy,son,identity 
keep,give,synonyms 
college,class,None 
area,zone,co_hyponyms 
book,information,indirect_hypernyms 
accept,believe,hyponyms 
go,come,synonyms 
vehicle,bus,indirect_hyponyms 
tax,income,None 
motor,engine,hyponyms 
champion,winner,None 
phrase,word,identity 
night,day,part_holonyms 
word,literature,None 
moon,planet,hypernyms 
glass,crystal,indirect_hyponyms 
different,normal,None 
intelligence,logic,None 
beach,island,None 
absence,presence,antonyms 
book,story,co_hyponyms 
man,father,co_hyponyms 
door,gate,co_hyponyms 
machine,engine,indirect_hyponyms 
politician,president,None 
business,industry,hyponyms 
child,adult,co_hyponyms 
disc,computer,None 
boy,brother,None 
belief,concept,co_hyponyms 
dictionary,definition,None 
hard,difficult,identity 
snow,weather,indirect_hypernyms 
book,text,hyponyms 
game,action,hypernyms 
go,send,indirect_hyponyms 
right,justice,hypernyms 
plane,airport,None 
want,choose,co_hyponyms 
communication,language,hyponyms 
sun,sky,None 
card,bridge,None 
book,literature,None 
wife,husband,antonyms 
take,leave,synonyms 
arm,body,part_holonyms 
winter,season,hypernyms 
leave,remain,None 
hard,easy,antonyms 
alcohol,wine,hyponyms 
give,know,indirect_hypernyms 
girl,child,hyponyms 
come,bring,synonyms 
president,mayor,None 
mouse,management,None 
medium,news,None 
club,society,identity 
winner,candidate,co_hyponyms 
beer,alcohol,indirect_hypernyms 
mouse,cat,None 
explain,prove,co_hyponyms 
value,belief,None 
receive,give,synonyms 
go,allow,hypernyms 
wide,narrow,antonyms 
idea,image,indirect_hyponyms 
bring,send,hypernyms 
house,key,co_hyponyms 
way,manner,identity 
water,salt,co_hyponyms 
argument,criticism,None 
car,bridge,None 
top,side,hypernyms 
chief,mayor,None 
song,story,None 
beach,sea,None 
people,gun,None 
long,narrow,None 
friend,mother,None 
woman,wife,hyponyms 
difficult,simple,None 
get,put,synonyms 
take,receive,synonyms 
date,calendar,None 
book,essay,None 
leave,enter,co_hyponyms 
simple,easy,also_sees 
make,become,synonyms 
hard,simple,None 
go,enter,hyponyms 
hand,foot,indirect_hypernyms 
become,appear,None 
god,priest,None 
keep,protect,hypernyms 
take,carry,identity 
activity,movement,hyponyms 
leader,manager,indirect_hyponyms 
code,symbol,None 
send,receive,co_hyponyms 
student,professor,None 
belief,opinion,identity 
hole,wife,None 
molecule,air,None 
give,put,synonyms 
fast,rapid,similar_tos 
add,build,hypernyms 
large,big,identity 
necessary,important,None 
article,journal,None 
save,protect,None 
money,diamond,None 
money,capital,None 
biography,fiction,None 
dollar,people,None 
august,month,indirect_hypernyms 
essential,necessary,identity 
lose,get,synonyms 
tower,bell,None 
agree,argue,None 
join,add,synonyms 
discussion,argument,hyponyms 
