football,basketball,co_part_holonyms 
physics,chemistry,None 
television,radio,None 
liquid,water,hyponyms 
type,kind,hypernyms 
rock,jazz,None 
glass,metal,None 
man,woman,antonyms 
planet,moon,None 
journal,association,None 
king,queen,identity 
seven,series,None 
psychology,science,hypernyms 
skin,eye,None 
money,cash,None 
food,fruit,None 
five,month,None 
planet,sun,None 
coast,forest,None 
coast,hill,None 
architecture,century,None 
train,car,member_meronyms 
practice,institution,indirect_hyponyms 
media,radio,indirect_hyponyms 
drink,mother,None 
consumer,energy,None 
century,year,indirect_part_meronyms 
wood,forest,identity 
planet,star,None 
student,professor,None 
plane,car,indirect_hypernyms 
cup,substance,indirect_hypernyms 
street,place,indirect_hypernyms 
money,currency,hypernyms 
start,year,None 
experience,music,None 
problem,airport,None 
professor,doctor,None 
image,surface,None 
money,dollar,None 
media,gain,None 
century,nation,None 
ministry,culture,None 
car,flight,None 
investigation,effort,None 
drink,car,None 
cup,food,indirect_hypernyms 
space,chemistry,None 
travel,activity,indirect_hypernyms 
street,block,None 
cup,article,indirect_hypernyms 
sugar,approach,None 
computer,news,None 
start,match,None 
energy,secretary,None 
peace,plan,None 
population,development,None 
holy,sex,None 
opera,performance,None 
month,hotel,None 
opera,industry,None 
school,center,None 
life,death,part_meronyms 
cup,object,indirect_hypernyms 
man,governor,None 
report,gain,None 
life,term,indirect_hypernyms 
possibility,girl,None 
development,issue,indirect_hypernyms 
direction,combination,None 
profit,loss,None 
attempt,peace,None 
street,children,None 
music,project,None 
peace,atmosphere,None 
stock,live,None 
governor,interview,None 
focus,life,None 
president,medal,None 
media,trading,None 
line,insurance,hyponyms 
stock,life,None 
money,operation,None 
minority,peace,None 
peace,insurance,None 
