W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,SimLex
(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(actress|actor),(large|big)
(molecule|atom),(composer|writer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(composer|writer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(actor|singer),(large|huge)
(winter|summer),(actor|singer),(composer|writer),(composer|writer),(composer|writer),(composer|writer),(composer|writer),(south|north),(son|father),(son|father),(son|father),(actor|singer),(son|father),(south|north),(south|north),(son|father),(son|father),(son|father),(son|father),(son|father),(son|father),(son|father),(son|father),(son|father),(south|north),(area|region)
(south|north),(south|north),(south|north),(south|north),(south|north),(south|north),(south|north),(composer|writer),(composer|writer),(composer|writer),(movie|film),(son|father),(south|north),(composer|writer),(son|father),(south|north),(composer|writer),(composer|writer),(south|north),(south|north),(south|north),(south|north),(south|north),(south|north),(son|father),(simple|easy)
(actor|singer),(basketball|baseball),(winter|summer),(son|father),(son|father),(son|father),(son|father),(son|father),(south|north),(south|north),(composer|writer),(south|north),(composer|writer),(son|father),(composer|writer),(composer|writer),(south|north),(south|north),(composer|writer),(brother|son),(brother|son),(brother|son),(brother|son),(composer|writer),(composer|writer),(boundary|border)
(composer|writer),(winter|summer),(brother|son),(movie|film),(winter|summer),(mother|wife),(winter|summer),(movie|film),(brother|son),(movie|film),(brother|son),(movie|film),(area|region),(winter|summer),(area|region),(area|region),(brother|son),(movie|film),(movie|film),(area|region),(composer|writer),(composer|writer),(composer|writer),(area|region),(brother|son),(business|company)
(dog|cat),(son|father),(mother|wife),(brother|son),(movie|film),(winter|summer),(mother|wife),(mother|wife),(mother|wife),(area|region),(south|north),(winter|summer),(movie|film),(area|region),(movie|film),(movie|film),(movie|film),(area|region),(area|region),(composer|writer),(father|brother),(mother|wife),(area|region),(brother|son),(father|brother),(corporation|business)
(wife|husband),(brother|son),(son|father),(winter|summer),(mother|wife),(basketball|baseball),(movie|film),(father|brother),(movie|film),(mother|wife),(father|brother),(brother|son),(brother|son),(brother|son),(brother|son),(basketball|baseball),(area|region),(winter|summer),(brother|son),(father|brother),(area|region),(area|region),(father|brother),(movie|film),(area|region),(essential|necessary)
(basketball|baseball),(mother|wife),(basketball|baseball),(basketball|baseball),(brother|son),(brother|son),(brother|son),(brother|son),(winter|summer),(basketball|baseball),(area|region),(area|region),(mother|wife),(movie|film),(mother|wife),(father|brother),(father|brother),(brother|son),(winter|summer),(winter|summer),(mother|wife),(father|brother),(mother|wife),(mother|wife),(winter|summer),(task|job)
(large|huge),(understand|know),(understand|know),(understand|know),(basketball|baseball),(movie|film),(area|region),(area|region),(father|brother),(brother|son),(mother|wife),(father|brother),(winter|summer),(mother|wife),(north|west),(brother|son),(winter|summer),(father|brother),(father|brother),(mother|wife),(molecule|atom),(movie|film),(movie|film),(molecule|atom),(movie|film),(movie|film)
(movie|film),(dog|cat),(movie|film),(father|brother),(understand|know),(molecule|atom),(father|brother),(father|daughter),(area|region),(father|brother),(father|daughter),(mother|wife),(river|valley),(north|west),(molecule|atom),(molecule|atom),(father|daughter),(molecule|atom),(mother|wife),(movie|film),(movie|film),(molecule|atom),(basketball|baseball),(river|valley),(mother|wife),(hard|difficult)
(mother|wife),(molecule|atom),(dog|cat),(mother|wife),(dog|cat),(area|region),(basketball|baseball),(winter|summer),(father|daughter),(father|daughter),(winter|summer),(river|valley),(basketball|baseball),(father|brother),(winter|summer),(winter|summer),(mother|wife),(river|valley),(father|daughter),(father|daughter),(father|daughter),(father|daughter),(father|daughter),(father|brother),(boundary|border),(fast|rapid)
(narrow|broad),(logic|arithmetic),(create|make),(dog|cat),(north|west),(understand|know),(molecule|atom),(molecule|atom),(north|west),(understand|know),(population|people),(father|daughter),(father|daughter),(molecule|atom),(father|brother),(mother|wife),(molecule|atom),(mother|wife),(woman|man),(molecule|atom),(basketball|baseball),(winter|summer),(molecule|atom),(father|daughter),(father|daughter),(champion|winner)
(explain|prove),(father|daughter),(molecule|atom),(area|region),(river|valley),(father|brother),(father|daughter),(basketball|baseball),(prince|king),(winter|summer),(north|west),(north|west),(molecule|atom),(river|valley),(father|daughter),(north|west),(basketball|baseball),(father|daughter),(river|valley),(river|valley),(north|west),(river|valley),(winter|summer),(basketball|baseball),(north|west),(create|make)
(brother|son),(create|build),(father|brother),(father|daughter),(molecule|atom),(boundary|border),(north|west),(north|west),(basketball|baseball),(river|valley),(basketball|baseball),(basketball|baseball),(father|brother),(father|daughter),(river|valley),(father|daughter),(north|west),(north|west),(north|west),(north|west),(father|god),(basketball|baseball),(river|valley),(winter|summer),(river|valley),(motor|engine)
(create|build),(movie|film),(create|build),(molecule|atom),(area|region),(dog|cat),(understand|know),(understand|know),(river|valley),(dog|cat),(river|valley),(prince|king),(prince|king),(atom|carbon),(population|people),(father|god),(boundary|border),(basketball|baseball),(basketball|baseball),(basketball|baseball),(winter|summer),(north|west),(north|west),(north|west),(basketball|baseball),(style|fashion)
(bring|send),(phrase|word),(father|daughter),(create|make),(father|daughter),(north|west),(dog|cat),(prince|king),(woman|man),(north|west),(woman|man),(understand|know),(north|west),(prince|king),(prince|king),(dog|cat),(father|god),(prince|king),(prince|king),(population|people),(river|valley),(boundary|border),(father|god),(boundary|border),(molecule|atom),(create|build)
