Model,synonyms,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms
W1,9,11,21,0,1,1,0,0,0,11,0,0,
W2,11,11,19,0,1,2,0,0,0,10,0,0,
W3,12,11,18,0,1,1,0,0,0,8,0,0,
W4,7,11,20,0,1,1,0,0,0,9,0,0,
W5,8,9,17,0,1,2,0,1,0,9,0,0,
W6,8,9,16,0,1,1,0,1,0,9,0,0,
W7,5,10,19,0,1,2,0,1,0,9,0,0,
W8,7,9,19,0,1,2,0,1,0,9,0,0,
W9,6,10,22,0,1,2,0,1,0,8,0,0,
W10,5,9,20,0,1,2,0,1,0,8,0,0,
W11,4,10,20,0,2,2,0,1,0,8,0,0,
W12,5,9,20,0,1,2,0,1,0,8,0,0,
W13,6,10,21,0,1,1,0,1,0,8,0,0,
W14,4,11,21,0,2,1,0,1,0,8,0,0,
W15,5,12,20,0,1,1,0,1,0,8,0,0,
W16,5,8,20,0,1,2,0,1,0,8,0,0,
W17,5,12,21,0,1,2,0,1,0,8,0,0,
W18,5,11,21,0,1,2,0,1,0,7,0,0,
W19,4,11,21,0,1,1,0,1,0,8,0,0,
W20,5,9,20,0,1,2,0,1,0,9,0,0,
W21,5,8,23,0,1,2,0,1,0,8,0,0,
W22,5,10,20,0,1,1,0,1,0,8,0,0,
W23,6,12,20,0,1,2,0,1,0,8,0,0,
W24,4,12,20,0,1,2,0,1,0,8,0,0,
W25,4,9,22,0,1,1,0,1,0,8,0,0,
