Model,synonyms,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms
W1,0.24371720547809336,0.32188032333149746,0.3392975133607332,1.0,0.561375348483658,0.874419881948282,1.0,1.0,1.0,0.0005583005124196873,1.0,1.0,
W2,0.05264597707353452,0.32188032333149746,0.5853982605777148,1.0,0.561375348483658,0.5477663956864869,1.0,1.0,1.0,0.0035377451943251616,1.0,1.0,
W3,0.01884344826926989,0.32188032333149746,0.7032775545193721,1.0,0.561375348483658,0.874419881948282,1.0,1.0,1.0,0.05630827701898848,1.0,1.0,
W4,0.601138410772017,0.32188032333149746,0.4600650317294751,1.0,0.561375348483658,0.874419881948282,1.0,1.0,1.0,0.016264755810859725,1.0,1.0,
W5,0.4115924846015966,0.647940413072954,0.8035556936121939,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.016264755810859725,1.0,1.0,
W6,0.4115924846015966,0.647940413072954,0.8805325512085058,1.0,0.561375348483658,0.874419881948282,1.0,0.3370786516854821,1.0,0.016264755810859725,1.0,1.0,
W7,0.895458015642128,0.48225311914872404,0.5853982605777148,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.016264755810859725,1.0,1.0,
W8,0.601138410772017,0.647940413072954,0.5853982605777148,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.016264755810859725,1.0,1.0,
W9,0.772782777248577,0.48225311914872404,0.23366162258902132,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W10,0.895458015642128,0.647940413072954,0.4600650317294751,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W11,0.9630049150311848,0.48225311914872404,0.4600650317294751,1.0,0.11278195488722091,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W12,0.895458015642128,0.647940413072954,0.4600650317294751,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W13,0.772782777248577,0.48225311914872404,0.3392975133607332,1.0,0.561375348483658,0.874419881948282,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W14,0.9630049150311848,0.32188032333149746,0.3392975133607332,1.0,0.11278195488722091,0.874419881948282,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W15,0.895458015642128,0.19066621766283512,0.4600650317294751,1.0,0.561375348483658,0.874419881948282,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W16,0.895458015642128,0.7916034203657994,0.4600650317294751,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W17,0.895458015642128,0.19066621766283512,0.3392975133607332,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W18,0.895458015642128,0.32188032333149746,0.3392975133607332,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.15059319442468977,1.0,1.0,
W19,0.9630049150311848,0.32188032333149746,0.3392975133607332,1.0,0.561375348483658,0.874419881948282,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W20,0.895458015642128,0.647940413072954,0.4600650317294751,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.016264755810859725,1.0,1.0,
W21,0.895458015642128,0.7916034203657994,0.1496668874171421,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W22,0.895458015642128,0.48225311914872404,0.4600650317294751,1.0,0.561375348483658,0.874419881948282,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W23,0.772782777248577,0.19066621766283512,0.4600650317294751,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W24,0.9630049150311848,0.19066621766283512,0.4600650317294751,1.0,0.561375348483658,0.5477663956864869,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
W25,0.9630049150311848,0.647940413072954,0.23366162258902132,1.0,0.561375348483658,0.874419881948282,1.0,0.3370786516854821,1.0,0.05630827701898848,1.0,1.0,
