Model,synonyms,identity,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms,co_hyponyms
W1,9 (0.244),9 (0.192),8 (0.173),7 (0.403),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),11 (0.001),0 (1.000),0 (1.000),12 (0.117),
W2,11 (0.053),9 (0.192),7 (0.334),6 (0.606),0 (1.000),0 (1.000),1 (0.809),0 (1.000),0 (1.000),0 (1.000),10 (0.004),0 (1.000),0 (1.000),11 (0.222),
W3,12 (0.019),10 (0.090),9 (0.074),4 (0.912),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),8 (0.056),0 (1.000),0 (1.000),13 (0.054),
W4,7 (0.601),9 (0.192),10 (0.025),5 (0.788),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),9 (0.016),0 (1.000),0 (1.000),13 (0.054),
W5,8 (0.412),9 (0.192),7 (0.334),5 (0.788),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),9 (0.016),0 (1.000),0 (1.000),11 (0.222),
W6,8 (0.412),10 (0.090),6 (0.538),5 (0.788),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),9 (0.016),0 (1.000),0 (1.000),10 (0.368),
W7,5 (0.895),9 (0.192),7 (0.334),6 (0.606),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),9 (0.016),0 (1.000),0 (1.000),12 (0.117),
W8,7 (0.601),10 (0.090),6 (0.538),7 (0.403),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),9 (0.016),0 (1.000),0 (1.000),12 (0.117),
W9,6 (0.773),9 (0.192),6 (0.538),8 (0.227),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),12 (0.117),
W10,5 (0.895),10 (0.090),6 (0.538),7 (0.403),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),10 (0.368),
W11,4 (0.963),8 (0.348),6 (0.538),6 (0.606),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W12,5 (0.895),10 (0.090),6 (0.538),8 (0.227),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),10 (0.368),
W13,6 (0.773),9 (0.192),7 (0.334),7 (0.403),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),12 (0.117),
W14,4 (0.963),9 (0.192),7 (0.334),7 (0.403),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),12 (0.117),
W15,5 (0.895),9 (0.192),7 (0.334),7 (0.403),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W16,5 (0.895),7 (0.538),5 (0.737),7 (0.403),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W17,5 (0.895),10 (0.090),7 (0.334),7 (0.403),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W18,5 (0.895),8 (0.348),7 (0.334),8 (0.227),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),7 (0.151),0 (1.000),0 (1.000),11 (0.222),
W19,4 (0.963),9 (0.192),6 (0.538),8 (0.227),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W20,5 (0.895),9 (0.192),6 (0.538),5 (0.788),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),9 (0.016),0 (1.000),0 (1.000),12 (0.117),
W21,5 (0.895),9 (0.192),5 (0.737),6 (0.606),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),13 (0.054),
W22,5 (0.895),9 (0.192),6 (0.538),6 (0.606),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W23,6 (0.773),8 (0.348),8 (0.173),5 (0.788),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),12 (0.117),
W24,4 (0.963),10 (0.090),7 (0.334),7 (0.403),0 (1.000),0 (1.000),1 (0.809),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),11 (0.222),
W25,4 (0.963),8 (0.348),6 (0.538),6 (0.606),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),8 (0.056),0 (1.000),0 (1.000),13 (0.054),
SimLex,9 (0.244),15 (0.000),9 (0.074),10 (0.041),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.337),0 (1.000),0 (1.000),0 (1.000),0 (1.000),5 (0.973),
