Model,synonyms,identity,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms,co_hyponyms
W1,2 (0.712),2 (0.685),3 (0.295),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),4 (0.058),0 (1.000),0 (1.000),7 (0.016),
W2,2 (0.712),3 (0.395),3 (0.295),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),4 (0.058),0 (1.000),0 (1.000),3 (0.582),
W3,2 (0.712),5 (0.058),2 (0.592),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),2 (0.482),0 (1.000),0 (1.000),4 (0.331),
W4,2 (0.712),5 (0.058),2 (0.592),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),2 (0.482),0 (1.000),0 (1.000),4 (0.331),
W5,2 (0.712),5 (0.058),2 (0.592),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),2 (0.482),0 (1.000),0 (1.000),4 (0.331),
W6,2 (0.712),4 (0.173),3 (0.295),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),4 (0.331),
W7,2 (0.712),4 (0.173),3 (0.295),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),3 (0.582),
W8,2 (0.712),4 (0.173),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.112),0 (1.000),2 (0.482),0 (1.000),0 (1.000),4 (0.331),
W9,1 (0.926),5 (0.058),4 (0.109),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),2 (0.482),0 (1.000),0 (1.000),3 (0.582),
W10,1 (0.926),4 (0.173),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),4 (0.058),0 (1.000),0 (1.000),3 (0.582),
W11,2 (0.712),3 (0.395),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.112),0 (1.000),2 (0.482),0 (1.000),0 (1.000),3 (0.582),
W12,1 (0.926),4 (0.173),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),3 (0.582),
W13,1 (0.926),3 (0.395),2 (0.592),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),4 (0.331),
W14,1 (0.926),3 (0.395),2 (0.592),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),3 (0.582),
W15,1 (0.926),4 (0.173),2 (0.592),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),2 (0.821),
W16,0 (1.000),3 (0.395),3 (0.295),2 (0.625),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),3 (0.199),0 (1.000),0 (1.000),3 (0.582),
W17,1 (0.926),4 (0.173),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),4 (0.058),0 (1.000),0 (1.000),2 (0.821),
W18,1 (0.926),3 (0.395),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.112),0 (1.000),2 (0.482),0 (1.000),0 (1.000),3 (0.582),
W19,1 (0.926),3 (0.395),3 (0.295),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),2 (0.482),0 (1.000),0 (1.000),3 (0.582),
W20,1 (0.926),5 (0.058),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.112),0 (1.000),4 (0.058),0 (1.000),0 (1.000),2 (0.821),
W21,1 (0.926),4 (0.173),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),5 (0.012),0 (1.000),0 (1.000),2 (0.821),
W22,1 (0.926),3 (0.395),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),4 (0.058),0 (1.000),0 (1.000),3 (0.582),
W23,1 (0.926),3 (0.395),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),4 (0.058),0 (1.000),0 (1.000),4 (0.331),
W24,1 (0.926),3 (0.395),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.112),0 (1.000),4 (0.058),0 (1.000),0 (1.000),2 (0.821),
W25,1 (0.926),4 (0.173),2 (0.592),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),1 (0.112),0 (1.000),3 (0.199),0 (1.000),0 (1.000),2 (0.821),
SimLex,4 (0.198),12 (0.000),1 (0.877),1 (0.892),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),0 (1.000),2 (0.821),
