Model,synonyms,identity,hypernyms,hyponyms,member_meronyms,part_holonyms,substance_holonyms,antonyms
W1,9 (0.24),9 (0.19),11 (0.32),21 (0.34),1 (0.56),1 (0.87),0 (1.00),11 (0.00)
W2,11 (0.05),9 (0.19),11 (0.32),19 (0.59),1 (0.56),2 (0.55),0 (1.00),10 (0.00)
W3,12 (0.02),10 (0.09),11 (0.32),18 (0.70),1 (0.56),1 (0.87),0 (1.00),8 (0.06)
W4,7 (0.60),9 (0.19),11 (0.32),20 (0.46),1 (0.56),1 (0.87),0 (1.00),9 (0.02)
W5,8 (0.41),9 (0.19),9 (0.65),17 (0.80),1 (0.56),2 (0.55),1 (0.34),9 (0.02)
W6,8 (0.41),10 (0.09),9 (0.65),16 (0.88),1 (0.56),1 (0.87),1 (0.34),9 (0.02)
W7,5 (0.90),9 (0.19),10 (0.48),19 (0.59),1 (0.56),2 (0.55),1 (0.34),9 (0.02)
W8,7 (0.60),10 (0.09),9 (0.65),19 (0.59),1 (0.56),2 (0.55),1 (0.34),9 (0.02)
W9,6 (0.77),9 (0.19),10 (0.48),22 (0.23),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W10,5 (0.90),10 (0.09),9 (0.65),20 (0.46),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W11,4 (0.96),8 (0.35),10 (0.48),20 (0.46),2 (0.11),2 (0.55),1 (0.34),8 (0.06)
W12,5 (0.90),10 (0.09),9 (0.65),20 (0.46),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W13,6 (0.77),9 (0.19),10 (0.48),21 (0.34),1 (0.56),1 (0.87),1 (0.34),8 (0.06)
W14,4 (0.96),9 (0.19),11 (0.32),21 (0.34),2 (0.11),1 (0.87),1 (0.34),8 (0.06)
W15,5 (0.90),9 (0.19),12 (0.19),20 (0.46),1 (0.56),1 (0.87),1 (0.34),8 (0.06)
W16,5 (0.90),7 (0.54),8 (0.79),20 (0.46),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W17,5 (0.90),10 (0.09),12 (0.19),21 (0.34),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W18,5 (0.90),8 (0.35),11 (0.32),21 (0.34),1 (0.56),2 (0.55),1 (0.34),7 (0.15)
W19,4 (0.96),9 (0.19),11 (0.32),21 (0.34),1 (0.56),1 (0.87),1 (0.34),8 (0.06)
W20,5 (0.90),9 (0.19),9 (0.65),20 (0.46),1 (0.56),2 (0.55),1 (0.34),9 (0.02)
W21,5 (0.90),9 (0.19),8 (0.79),23 (0.15),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W22,5 (0.90),9 (0.19),10 (0.48),20 (0.46),1 (0.56),1 (0.87),1 (0.34),8 (0.06)
W23,6 (0.77),8 (0.35),12 (0.19),20 (0.46),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W24,4 (0.96),10 (0.09),12 (0.19),20 (0.46),1 (0.56),2 (0.55),1 (0.34),8 (0.06)
W25,4 (0.96),8 (0.35),9 (0.65),22 (0.23),1 (0.56),1 (0.87),1 (0.34),8 (0.06)
