Word1,Word2,CBoW_Model_W1,CBoW_Model_W2,CBoW_Model_W3,CBoW_Model_W4,CBoW_Model_W5,CBoW_Model_W6,CBoW_Model_W7,CBoW_Model_W8,CBoW_Model_W9,CBoW_Model_W10,CBoW_Model_W11,CBoW_Model_W12,CBoW_Model_W13,CBoW_Model_W14,CBoW_Model_W15,CBoW_Model_W16,CBoW_Model_W17,CBoW_Model_W18,CBoW_Model_W19,CBoW_Model_W20,CBoW_Model_W21,CBoW_Model_W22,CBoW_Model_W23,CBoW_Model_W24,CBoW_Model_W25,SGNS_Model_W1,SGNS_Model_W2,SGNS_Model_W3,SGNS_Model_W4,SGNS_Model_W5,SGNS_Model_W6,SGNS_Model_W7,SGNS_Model_W8,SGNS_Model_W9,SGNS_Model_W10,SGNS_Model_W11,SGNS_Model_W12,SGNS_Model_W13,SGNS_Model_W14,SGNS_Model_W15,SGNS_Model_W16,SGNS_Model_W17,SGNS_Model_W18,SGNS_Model_W19,SGNS_Model_W20,SGNS_Model_W21,SGNS_Model_W22,SGNS_Model_W23,SGNS_Model_W24,SGNS_Model_W25,Reference_val 
old,new,0.21636969,0.73715556,0.80277693,0.81398904,0.8220933,0.81409323,0.80468976,0.78880656,0.78986573,0.7673124,0.7481972,0.7272329,0.7574243,0.7405345,0.7219497,0.73727095,0.6989206,0.7000007,0.6999992,0.658236,0.6695439,0.6455779,0.65940815,0.6786442,0.64485216,0.19521523,0.16631855,0.18572244,0.21038371,0.20468599,0.23314959,0.23678903,0.27328095,0.27112487,0.270518,0.28518865,0.3071705,0.29036415,0.32301754,0.3212625,0.31345505,0.3277788,0.3459484,0.35767108,0.35389674,0.35646957,0.35011992,0.375579,0.35456985,0.38624018,1.58
smart,intelligent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2
hard,difficult,0.50846565,0.81246734,0.83962584,0.8289609,0.8316201,0.81649935,0.7940999,0.7418509,0.7412523,0.73208547,0.68845105,0.7060605,0.6743275,0.6512207,0.69161844,0.6393683,0.6413466,0.6460666,0.6084504,0.620487,0.60403264,0.58345234,0.57449263,0.55338705,0.57481253,0.47249454,0.46498615,0.39580065,0.3479296,0.33150688,0.33027887,0.34679562,0.34562194,0.30190268,0.3156113,0.3425045,0.32263455,0.3105167,0.29334432,0.35297936,0.3399641,0.3668524,0.336047,0.35815993,0.33183813,0.3586061,0.35635936,0.36898038,0.37392494,0.35256988,8.77
happy,cheerful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.55
hard,easy,0.4886446,0.79711026,0.80788386,0.8115246,0.8032409,0.78759503,0.76194555,0.742885,0.71065974,0.695369,0.6699517,0.6509235,0.59115314,0.6184399,0.6332993,0.6257466,0.6104996,0.5817852,0.6069355,0.57153845,0.5897055,0.5858468,0.5032714,0.53960335,0.5554911,0.40293208,0.41711894,0.3685884,0.28820205,0.3139025,0.28771612,0.2890164,0.31971562,0.31557322,0.30708224,0.3047269,0.3164221,0.34175992,0.33919957,0.36029,0.34043097,0.36862695,0.3530873,0.33877087,0.39204806,0.343422,0.40627438,0.37491137,0.32392392,0.36837474,0.95
fast,rapid,0.41788465,0.7952143,0.7892305,0.7750537,0.76975477,0.7395198,0.7340438,0.69828266,0.7287528,0.6609676,0.6433181,0.6462739,0.65686506,0.62288064,0.56215715,0.58116955,0.5759827,0.5956999,0.58396024,0.5683236,0.5400251,0.5113832,0.47454882,0.46508288,0.4931196,0.34031233,0.33247092,0.2937734,0.30208528,0.20152833,0.25314552,0.211761,0.19890387,0.21221364,0.21208924,0.19798231,0.20294124,0.22157717,0.23142241,0.25888288,0.27148002,0.23580393,0.29146445,0.28321433,0.26664162,0.2781172,0.24950942,0.25382668,0.24543107,0.2506456,8.75
happy,glad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17
short,long,0.467452,0.7650797,0.79931515,0.8198725,0.81106645,0.796845,0.78365195,0.7765224,0.76332724,0.763075,0.7430632,0.7661519,0.7346976,0.74880296,0.70921427,0.69749194,0.7261363,0.7043607,0.70115995,0.6905323,0.7139771,0.6834688,0.70309985,0.6947606,0.6537973,0.39372855,0.36888298,0.36506778,0.37858948,0.40401274,0.4245666,0.44526058,0.4642357,0.46931076,0.47261748,0.49702892,0.52587265,0.53193456,0.5142496,0.5377251,0.5271901,0.5551399,0.5520444,0.5595842,0.5735004,0.5709621,0.58383113,0.57317036,0.5998912,0.58282226,1.23
stupid,dumb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.58
weird,strange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93
wide,narrow,0.47192368,0.7970753,0.7889745,0.7926122,0.7714976,0.7441017,0.7442329,0.72971547,0.6813503,0.6892702,0.6303233,0.64060986,0.6557224,0.63354206,0.582358,0.61700857,0.59423304,0.55499697,0.56338704,0.549593,0.573288,0.5433122,0.5050181,0.5309604,0.5024471,0.41243362,0.35794747,0.29643604,0.30468288,0.3104443,0.2871354,0.3266424,0.31705457,0.32205403,0.35664678,0.3169281,0.32840997,0.32971412,0.3666093,0.3268552,0.34683067,0.34090674,0.3081815,0.32310715,0.34777832,0.36348283,0.3600433,0.34206846,0.36365667,0.3704834,1.03
bad,awful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.42
easy,difficult,0.6034869,0.8517407,0.8630297,0.8677418,0.8500701,0.8383939,0.81655574,0.79188323,0.78269315,0.78174496,0.7473982,0.73964006,0.7181752,0.6784618,0.74476683,0.70786947,0.6972854,0.67382145,0.6770517,0.7105728,0.6850693,0.6609398,0.64592296,0.67846406,0.6299304,0.53519744,0.54409325,0.48703742,0.45686376,0.43756256,0.43868396,0.4259411,0.40537316,0.41616893,0.4369111,0.42708194,0.4420812,0.433477,0.43719873,0.42373657,0.4165731,0.4756119,0.43644667,0.47396225,0.4494115,0.45783812,0.46526924,0.4301199,0.45061046,0.46142435,0.58
bad,terrible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78
hard,simple,0.2326442,0.736124,0.78548115,0.81783044,0.7744888,0.77480185,0.7410482,0.72596586,0.7020736,0.67699426,0.68838936,0.6682353,0.65700465,0.6355772,0.63944554,0.65031636,0.62059253,0.5700657,0.59159917,0.57545704,0.5529513,0.55610967,0.5229515,0.5583842,0.44765088,0.19136392,0.19888999,0.17922261,0.14297992,0.17657343,0.15997568,0.19533128,0.18065108,0.2009989,0.17788365,0.17723098,0.18830368,0.14431368,0.20470124,0.2090103,0.19462226,0.1792346,0.18664488,0.22330044,0.22021924,0.20323667,0.22534116,0.23762766,0.20048912,0.21284659,1.38
smart,dumb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55
insane,crazy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.57
happy,mad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
large,huge,0.66895306,0.85660815,0.87100923,0.8517052,0.83950126,0.8204024,0.8137878,0.77627105,0.7593987,0.74447095,0.7168342,0.70794255,0.7076793,0.6659427,0.6795312,0.6700605,0.6194259,0.6289989,0.6196577,0.6214767,0.6401907,0.5702795,0.5545968,0.5738485,0.6086335,0.5991088,0.5736778,0.5679622,0.54089546,0.56062233,0.5513016,0.5311627,0.5590512,0.49604145,0.54326576,0.53285253,0.5233892,0.5104127,0.51058125,0.5155725,0.54183984,0.52502745,0.5167166,0.4875565,0.54543304,0.49735883,0.5134363,0.4841849,0.47978327,0.4987406,9.47
hard,tough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05
new,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83
sharp,dull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
quick,rapid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7
dumb,foolish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67
wonderful,terrific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63
strange,odd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02
happy,angry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28
narrow,broad,0.6565397,0.85734713,0.8370749,0.8401526,0.81350744,0.814759,0.80388916,0.7819891,0.73863965,0.76555324,0.7388395,0.75133395,0.71238536,0.68660307,0.7233731,0.6805117,0.6648542,0.6141671,0.6855166,0.64305073,0.6947654,0.6076683,0.57737637,0.6351094,0.6503066,0.5571467,0.47970492,0.4631517,0.42222908,0.39281425,0.391783,0.4041437,0.4059956,0.3732075,0.4083345,0.3924824,0.39852768,0.4317248,0.41969016,0.41049397,0.41913956,0.39248395,0.4060014,0.44209763,0.41354287,0.40874183,0.39817494,0.42951697,0.44466037,0.4007848,1.18
simple,easy,0.36846972,0.7823077,0.8154417,0.81575304,0.7698968,0.77941316,0.70965433,0.72064996,0.709443,0.6802355,0.6525271,0.62244666,0.61828613,0.6047085,0.63378227,0.6434551,0.566713,0.55034035,0.6084547,0.5163252,0.5545312,0.47776988,0.53337574,0.572996,0.4889915,0.36120984,0.32955515,0.30504608,0.31856418,0.30511492,0.2819441,0.30231604,0.26817393,0.31561276,0.30828536,0.33173662,0.3583109,0.34029812,0.34587842,0.3458359,0.3395863,0.35148853,0.36307937,0.353051,0.34572205,0.37019962,0.40226874,0.36900342,0.3954286,0.40849492,9.4
old,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87
apparent,obvious,0.6180165,0.8556762,0.8380482,0.81578845,0.79428375,0.7759656,0.7355745,0.6997858,0.6938089,0.725961,0.6389323,0.65767264,0.64790434,0.6056466,0.5987185,0.49273664,0.4747651,0.5254963,0.45693752,0.52682304,0.48512927,0.49936354,0.40486428,0.4637135,0.43603224,0.56573105,0.48308313,0.4380886,0.36687016,0.3691542,0.3546387,0.35508335,0.33286142,0.34682864,0.32887208,0.3307673,0.3611369,0.2725317,0.34425932,0.32581353,0.32357523,0.32401413,0.36552513,0.33698344,0.314335,0.34013736,0.33363807,0.3491106,0.32313955,0.33638677,8.47
inexpensive,cheap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.72
nice,generous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
weird,normal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72
weird,odd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2
bad,immoral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62
sad,funny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
wonderful,great,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05
guilty,ashamed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38
