Word1,Word2,CBoW_Model_W1,CBoW_Model_W2,CBoW_Model_W3,CBoW_Model_W4,CBoW_Model_W5,CBoW_Model_W6,CBoW_Model_W7,CBoW_Model_W8,CBoW_Model_W9,CBoW_Model_W10,CBoW_Model_W11,CBoW_Model_W12,CBoW_Model_W13,CBoW_Model_W14,CBoW_Model_W15,CBoW_Model_W16,CBoW_Model_W17,CBoW_Model_W18,CBoW_Model_W19,CBoW_Model_W20,CBoW_Model_W21,CBoW_Model_W22,CBoW_Model_W23,CBoW_Model_W24,CBoW_Model_W25,SGNS_Model_W1,SGNS_Model_W2,SGNS_Model_W3,SGNS_Model_W4,SGNS_Model_W5,SGNS_Model_W6,SGNS_Model_W7,SGNS_Model_W8,SGNS_Model_W9,SGNS_Model_W10,SGNS_Model_W11,SGNS_Model_W12,SGNS_Model_W13,SGNS_Model_W14,SGNS_Model_W15,SGNS_Model_W16,SGNS_Model_W17,SGNS_Model_W18,SGNS_Model_W19,SGNS_Model_W20,SGNS_Model_W21,SGNS_Model_W22,SGNS_Model_W23,SGNS_Model_W24,SGNS_Model_W25,Reference_val 
tiger,cat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35
tiger,tiger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00
plane,car,0.26724958,0.7459327,0.8034916,0.75971615,0.7586876,0.7535341,0.7281897,0.68165195,0.69876075,0.6825555,0.62117887,0.6068139,0.65240514,0.6275041,0.6246347,0.6135943,0.6097955,0.5527369,0.56766474,0.5393996,0.55707544,0.5370604,0.49720234,0.50613546,0.46639404,0.2880395,0.3175214,0.28447238,0.2605673,0.2669317,0.30078486,0.25916415,0.29962155,0.29570374,0.28716946,0.26669472,0.27900496,0.28313544,0.2860307,0.28943053,0.26386294,0.3043421,0.2737618,0.28067958,0.31061652,0.26360857,0.31718582,0.2725838,0.2702293,0.2621512,5.77
train,car,0.39910144,0.75843096,0.79828215,0.7927408,0.77083147,0.7636543,0.7428728,0.7136817,0.68179053,0.655012,0.647871,0.63997686,0.68687725,0.59578395,0.60641956,0.6301555,0.6049461,0.5744066,0.50162923,0.59314364,0.58446884,0.5576118,0.5047756,0.4847165,0.57060283,0.38281953,0.35092658,0.36937237,0.3508864,0.3383125,0.33213037,0.37078738,0.31988466,0.3358304,0.35219246,0.3765419,0.36927384,0.35995832,0.3705603,0.3753028,0.39149696,0.36492202,0.35324156,0.38884634,0.36109266,0.37960798,0.3366754,0.37922195,0.38213938,0.4020584,6.31
television,radio,0.59561396,0.861544,0.8836149,0.8884745,0.8949721,0.86749077,0.8709279,0.86850363,0.8582758,0.862165,0.8378158,0.8271715,0.81885844,0.8336234,0.80845445,0.8203517,0.8058566,0.79580927,0.770002,0.7678257,0.7511181,0.761052,0.7665202,0.76475745,0.7559092,0.53898764,0.5462432,0.5241,0.52732444,0.51801395,0.5522599,0.5321263,0.5438458,0.55971247,0.54917294,0.55974066,0.5452275,0.5514679,0.5757617,0.58507276,0.5723321,0.59371233,0.61033964,0.5864466,0.5979881,0.58318675,0.598701,0.6068211,0.5988984,0.6071302,6.77
media,radio,0.33737606,0.7568981,0.7887261,0.8037491,0.81140137,0.7765746,0.7913304,0.75951827,0.74083686,0.73513114,0.73626447,0.70154804,0.7169075,0.6970111,0.7073851,0.6906736,0.6827673,0.66034424,0.6329905,0.63253164,0.6319173,0.6012722,0.5936959,0.6187521,0.59642404,0.28496808,0.29109162,0.29602933,0.27751523,0.2961315,0.31046763,0.31559527,0.27785248,0.34338212,0.322792,0.30551758,0.31965497,0.33514333,0.3328718,0.31911317,0.31879684,0.33386207,0.32932478,0.34584183,0.34509927,0.3278538,0.349191,0.34675166,0.35307306,0.36122438,7.42
bread,butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19
cucumber,potato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92
doctor,nurse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00
professor,doctor,0.36399725,0.7279052,0.7594291,0.73007625,0.74116915,0.7072266,0.6798184,0.62357175,0.652627,0.58911175,0.5978886,0.5848223,0.49275085,0.5423785,0.5656993,0.49389282,0.51602674,0.48605582,0.49146837,0.46283713,0.4271524,0.5257603,0.42702463,0.431508,0.42717618,0.36757642,0.3630439,0.34166083,0.28030616,0.2635432,0.26890758,0.27790305,0.27928048,0.30578196,0.28343856,0.28072625,0.29716992,0.28343257,0.31196934,0.31820184,0.29382885,0.30234787,0.3379589,0.32917088,0.3327684,0.30689523,0.3464523,0.3406134,0.36177966,0.36886746,6.62
